#si 50
#nm 101
energy=-34;biomass=310;fitness=50;lowestEnergy=-34;highestEnergy=994;meanEnergy=317.180;meanBiomass=195.400;nGenes=54;nSites=78
energy=-94;biomass=170;fitness=127;lowestEnergy=-94;highestEnergy=1004;meanEnergy=447.268;meanBiomass=85.669;nGenes=52;nSites=88
energy=-50;biomass=330;fitness=128;lowestEnergy=-50;highestEnergy=1002;meanEnergy=472.586;meanBiomass=196.875;nGenes=51;nSites=101
energy=-39;biomass=10;fitness=169;lowestEnergy=-39;highestEnergy=1002;meanEnergy=409.645;meanBiomass=0.059;nGenes=49;nSites=92
energy=-100;biomass=170;fitness=202;lowestEnergy=-100;highestEnergy=1007;meanEnergy=387.421;meanBiomass=60.792;nGenes=46;nSites=95
energy=-11;biomass=180;fitness=227;lowestEnergy=-11;highestEnergy=1009;meanEnergy=358.630;meanBiomass=104.449;nGenes=46;nSites=116
energy=-13;biomass=130;fitness=277;lowestEnergy=-13;highestEnergy=1033;meanEnergy=425.776;meanBiomass=44.404;nGenes=44;nSites=116
energy=-32;biomass=40;fitness=394;lowestEnergy=-32;highestEnergy=1010;meanEnergy=331.931;meanBiomass=24.949;nGenes=43;nSites=123
energy=-44;biomass=310;fitness=527;lowestEnergy=-44;highestEnergy=997;meanEnergy=314.651;meanBiomass=102.562;nGenes=37;nSites=99
energy=-6;biomass=210;fitness=402;lowestEnergy=-6;highestEnergy=1005;meanEnergy=401.547;meanBiomass=70.771;nGenes=36;nSites=106
energy=-27;biomass=210;fitness=527;lowestEnergy=-27;highestEnergy=1018;meanEnergy=338.632;meanBiomass=82.581;nGenes=33;nSites=99
energy=-23;biomass=740;fitness=1002;lowestEnergy=-23;highestEnergy=1013;meanEnergy=314.218;meanBiomass=359.421;nGenes=32;nSites=102
energy=164;biomass=1750;fitness=3750;lowestEnergy=0;highestEnergy=1045;meanEnergy=298.153;meanBiomass=865.607;nGenes=27;nSites=73
energy=343;biomass=1130;fitness=3130;lowestEnergy=0;highestEnergy=1044;meanEnergy=260.713;meanBiomass=579.265;nGenes=25;nSites=55
energy=328;biomass=1790;fitness=3790;lowestEnergy=0;highestEnergy=1001;meanEnergy=283.325;meanBiomass=927.571;nGenes=24;nSites=59
energy=81;biomass=1630;fitness=3630;lowestEnergy=0;highestEnergy=1003;meanEnergy=259.263;meanBiomass=737.226;nGenes=25;nSites=58
energy=333;biomass=1790;fitness=3790;lowestEnergy=0;highestEnergy=1035;meanEnergy=286.393;meanBiomass=822.694;nGenes=22;nSites=47
energy=201;biomass=1800;fitness=3800;lowestEnergy=0;highestEnergy=1052;meanEnergy=288.714;meanBiomass=877.031;nGenes=21;nSites=54
energy=254;biomass=1850;fitness=3850;lowestEnergy=0;highestEnergy=1036;meanEnergy=330.787;meanBiomass=921.379;nGenes=21;nSites=54
