#si 50
#nm 51
energy=-45;biomass=20;fitness=42;lowestEnergy=-45;highestEnergy=980;meanEnergy=484.500;meanBiomass=7.381;nGenes=49;nSites=45
energy=-4;biomass=0;fitness=83;lowestEnergy=-4;highestEnergy=1006;meanEnergy=437.590;meanBiomass=0.000;nGenes=47;nSites=47
energy=-97;biomass=0;fitness=115;lowestEnergy=-97;highestEnergy=992;meanEnergy=395.113;meanBiomass=0.000;nGenes=47;nSites=61
energy=-10;biomass=180;fitness=143;lowestEnergy=-10;highestEnergy=994;meanEnergy=394.245;meanBiomass=58.671;nGenes=42;nSites=49
energy=-73;biomass=150;fitness=204;lowestEnergy=-73;highestEnergy=1008;meanEnergy=326.255;meanBiomass=59.216;nGenes=44;nSites=53
energy=-2;biomass=430;fitness=407;lowestEnergy=-2;highestEnergy=1027;meanEnergy=301.590;meanBiomass=256.388;nGenes=42;nSites=45
energy=-20;biomass=790;fitness=977;lowestEnergy=-20;highestEnergy=1010;meanEnergy=284.852;meanBiomass=398.383;nGenes=42;nSites=57
energy=-18;biomass=1730;fitness=1565;lowestEnergy=-18;highestEnergy=1025;meanEnergy=282.300;meanBiomass=729.329;nGenes=39;nSites=62
energy=392;biomass=3080;fitness=5080;lowestEnergy=0;highestEnergy=1000;meanEnergy=277.079;meanBiomass=1713.108;nGenes=37;nSites=67
energy=155;biomass=2560;fitness=4560;lowestEnergy=0;highestEnergy=1034;meanEnergy=332.307;meanBiomass=1283.018;nGenes=32;nSites=53
energy=355;biomass=2680;fitness=4680;lowestEnergy=0;highestEnergy=1033;meanEnergy=325.680;meanBiomass=1468.221;nGenes=29;nSites=52
energy=308;biomass=7160;fitness=9160;lowestEnergy=0;highestEnergy=1014;meanEnergy=344.743;meanBiomass=3806.857;nGenes=30;nSites=68
energy=300;biomass=15630;fitness=17630;lowestEnergy=0;highestEnergy=990;meanEnergy=299.578;meanBiomass=7726.622;nGenes=29;nSites=64
energy=151;biomass=15860;fitness=17860;lowestEnergy=0;highestEnergy=1023;meanEnergy=309.319;meanBiomass=7305.662;nGenes=28;nSites=59
energy=279;biomass=17860;fitness=19860;lowestEnergy=0;highestEnergy=1005;meanEnergy=273.941;meanBiomass=8382.994;nGenes=28;nSites=57
energy=327;biomass=17770;fitness=19770;lowestEnergy=0;highestEnergy=994;meanEnergy=302.836;meanBiomass=8674.408;nGenes=28;nSites=68
energy=324;biomass=18350;fitness=20350;lowestEnergy=0;highestEnergy=996;meanEnergy=308.709;meanBiomass=9160.945;nGenes=28;nSites=56
