#si 50
#nm 201
energy=-4;biomass=10;fitness=56;lowestEnergy=-4;highestEnergy=1009;meanEnergy=535.179;meanBiomass=0.536;nGenes=54;nSites=81
energy=-83;biomass=200;fitness=252;lowestEnergy=-83;highestEnergy=981;meanEnergy=281.865;meanBiomass=79.048;nGenes=51;nSites=63
energy=374;biomass=2640;fitness=4640;lowestEnergy=0;highestEnergy=1018;meanEnergy=331.661;meanBiomass=1275.702;nGenes=48;nSites=64
energy=422;biomass=1770;fitness=3770;lowestEnergy=0;highestEnergy=1000;meanEnergy=281.941;meanBiomass=1071.959;nGenes=45;nSites=58
energy=273;biomass=2340;fitness=4340;lowestEnergy=0;highestEnergy=1092;meanEnergy=327.280;meanBiomass=1174.908;nGenes=41;nSites=53
energy=295;biomass=1740;fitness=3740;lowestEnergy=0;highestEnergy=993;meanEnergy=288.076;meanBiomass=946.817;nGenes=38;nSites=49
energy=318;biomass=2150;fitness=4150;lowestEnergy=0;highestEnergy=993;meanEnergy=272.845;meanBiomass=1003.258;nGenes=41;nSites=56
energy=259;biomass=6030;fitness=8030;lowestEnergy=0;highestEnergy=1070;meanEnergy=338.512;meanBiomass=2670.105;nGenes=44;nSites=66
energy=90;biomass=8690;fitness=10690;lowestEnergy=0;highestEnergy=1118;meanEnergy=319.308;meanBiomass=4077.401;nGenes=41;nSites=63
energy=324;biomass=2440;fitness=4440;lowestEnergy=0;highestEnergy=988;meanEnergy=290.985;meanBiomass=1121.794;nGenes=36;nSites=70
energy=295;biomass=2810;fitness=4810;lowestEnergy=0;highestEnergy=999;meanEnergy=296.249;meanBiomass=1433.518;nGenes=34;nSites=67
energy=530;biomass=12810;fitness=14810;lowestEnergy=0;highestEnergy=1103;meanEnergy=349.166;meanBiomass=6569.975;nGenes=33;nSites=73
energy=364;biomass=19250;fitness=21250;lowestEnergy=0;highestEnergy=1165;meanEnergy=347.328;meanBiomass=9857.136;nGenes=36;nSites=88
energy=213;biomass=4180;fitness=6180;lowestEnergy=0;highestEnergy=1016;meanEnergy=328.734;meanBiomass=1964.163;nGenes=33;nSites=74
energy=172;biomass=7620;fitness=9620;lowestEnergy=0;highestEnergy=1014;meanEnergy=308.542;meanBiomass=3791.209;nGenes=32;nSites=86
energy=341;biomass=7280;fitness=9280;lowestEnergy=0;highestEnergy=1021;meanEnergy=319.440;meanBiomass=3393.268;nGenes=33;nSites=96
