numEntries=135;mcShape=61;lcShape=4;highestFreq=9;lowestFreq=1;numPopulated=70;numUnpopulated=58;popUnpopRatio=1.207;meanShape=66.985;meanFreq=1.055;sdShape=37.915;sdFreq=1.438
numEntries=114;mcShape=52;lcShape=0;highestFreq=9;lowestFreq=0;numPopulated=56;numUnpopulated=72;popUnpopRatio=0.778;meanShape=65.061;meanFreq=0.891;sdShape=36.142;sdFreq=1.517
numEntries=112;mcShape=11;lcShape=0;highestFreq=11;lowestFreq=0;numPopulated=54;numUnpopulated=74;popUnpopRatio=0.730;meanShape=62.304;meanFreq=0.875;sdShape=36.168;sdFreq=1.581
numEntries=103;mcShape=52;lcShape=0;highestFreq=9;lowestFreq=0;numPopulated=56;numUnpopulated=72;popUnpopRatio=0.778;meanShape=63.612;meanFreq=0.805;sdShape=36.111;sdFreq=1.415
numEntries=94;mcShape=52;lcShape=0;highestFreq=9;lowestFreq=0;numPopulated=51;numUnpopulated=77;popUnpopRatio=0.662;meanShape=63.543;meanFreq=0.734;sdShape=36.647;sdFreq=1.343
numEntries=87;mcShape=110;lcShape=0;highestFreq=7;lowestFreq=0;numPopulated=48;numUnpopulated=80;popUnpopRatio=0.600;meanShape=62.494;meanFreq=0.680;sdShape=36.385;sdFreq=1.231
numEntries=97;mcShape=52;lcShape=0;highestFreq=11;lowestFreq=0;numPopulated=45;numUnpopulated=83;popUnpopRatio=0.542;meanShape=62.361;meanFreq=0.758;sdShape=36.481;sdFreq=1.472
numEntries=110;mcShape=52;lcShape=2;highestFreq=11;lowestFreq=1;numPopulated=50;numUnpopulated=78;popUnpopRatio=0.641;meanShape=64.436;meanFreq=0.859;sdShape=36.542;sdFreq=1.717
numEntries=104;mcShape=85;lcShape=0;highestFreq=11;lowestFreq=0;numPopulated=48;numUnpopulated=80;popUnpopRatio=0.600;meanShape=67.394;meanFreq=0.813;sdShape=37.727;sdFreq=1.667
numEntries=106;mcShape=108;lcShape=0;highestFreq=11;lowestFreq=0;numPopulated=45;numUnpopulated=83;popUnpopRatio=0.542;meanShape=65.358;meanFreq=0.828;sdShape=36.558;sdFreq=1.925
numEntries=101;mcShape=108;lcShape=0;highestFreq=13;lowestFreq=0;numPopulated=38;numUnpopulated=90;popUnpopRatio=0.422;meanShape=65.960;meanFreq=0.789;sdShape=37.868;sdFreq=1.955
